ACC58958 | Deposits: 000000 | Withdrawals: 000529 | Transfers: 000000 | Count: 0001
ACC48650 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001129 | Count: 0001
ACC60921 | Deposits: 000933 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC43792 | Deposits: 000000 | Withdrawals: 000072 | Transfers: 000000 | Count: 0001
ACC10284 | Deposits: 000000 | Withdrawals: 001154 | Transfers: 000000 | Count: 0001
ACC11531 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 000683 | Count: 0001
ACC62917 | Deposits: 000385 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC68764 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001171 | Count: 0001
ACC70859 | Deposits: 000113 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC49428 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 000154 | Count: 0001
ACC81687 | Deposits: 000762 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC91042 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 000129 | Count: 0001
ACC94124 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001227 | Count: 0001
ACC59845 | Deposits: 000000 | Withdrawals: 000092 | Transfers: 000000 | Count: 0001
ACC98407 | Deposits: 000000 | Withdrawals: 000499 | Transfers: 000000 | Count: 0001
ACC39544 | Deposits: 000000 | Withdrawals: 000910 | Transfers: 000000 | Count: 0001
ACC97614 | Deposits: 000793 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC21498 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001483 | Count: 0001
ACC14564 | Deposits: 000000 | Withdrawals: 000326 | Transfers: 000000 | Count: 0001
ACC24121 | Deposits: 000681 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC74920 | Deposits: 000000 | Withdrawals: 000209 | Transfers: 000000 | Count: 0001
ACC91787 | Deposits: 000000 | Withdrawals: 000879 | Transfers: 000000 | Count: 0001
ACC43244 | Deposits: 000000 | Withdrawals: 000972 | Transfers: 000000 | Count: 0001
ACC49858 | Deposits: 001235 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC15856 | Deposits: 000737 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC74483 | Deposits: 000524 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC80523 | Deposits: 000940 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC59081 | Deposits: 000000 | Withdrawals: 000713 | Transfers: 000000 | Count: 0001
ACC88574 | Deposits: 000000 | Withdrawals: 000311 | Transfers: 000000 | Count: 0001
ACC62557 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001393 | Count: 0001
ACC36992 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 000412 | Count: 0001
ACC52000 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001246 | Count: 0001
ACC66840 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001177 | Count: 0001
ACC67128 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001495 | Count: 0001
ACC57995 | Deposits: 000000 | Withdrawals: 000513 | Transfers: 000000 | Count: 0001
ACC54120 | Deposits: 000765 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC18004 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001468 | Count: 0001
ACC34364 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 000571 | Count: 0001
ACC13343 | Deposits: 001480 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC94970 | Deposits: 000000 | Withdrawals: 000989 | Transfers: 000000 | Count: 0001
ACC25767 | Deposits: 000000 | Withdrawals: 000724 | Transfers: 000000 | Count: 0001
ACC29569 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001149 | Count: 0001
ACC29421 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001279 | Count: 0001
ACC66754 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 000196 | Count: 0001
ACC34015 | Deposits: 000000 | Withdrawals: 001349 | Transfers: 000000 | Count: 0001
ACC67955 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 000929 | Count: 0001
ACC59386 | Deposits: 000275 | Withdrawals: 000000 | Transfers: 000000 | Count: 0001
ACC64461 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001054 | Count: 0001
ACC33685 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 001258 | Count: 0001
ACC81201 | Deposits: 000000 | Withdrawals: 000000 | Transfers: 000217 | Count: 0001
Top Customer: ACC58958 | Transactions: 0001
